,user_id,prospect_id,prospect_creation_date,is_presented_prospect,is_client,gender,age
0,684630696291444,p_96e4f7,2023-08-13,1,0,F,81
1,147942796817941,p_8841a5,2023-07-16,1,0,F,139
2,124864507964377,p_8970a5,2023-12-16,1,0,M,30
3,149579675976397,p_51ef6a,2023-10-31,0,0,M,22
4,209311476200613,p_045376,2023-04-04,0,0,M,132
5,428375728757009,p_b1742e,2023-01-29,0,0,F,122
6,299327950751394,p_9f61e7,2023-10-08,0,0,F,93
7,509615869824172,p_bc5a8a,2023-11-08,0,0,M,105
8,379245356747504,p_cff654,2023-02-01,1,0,F,97
9,532546974343191,p_4f24e5,2023-08-17,0,1,F,97
10,300221093764427,p_2ab2ee,2023-07-06,0,0,123,83
11,337451783067754,p_41adb5,2023-08-18,0,0,123,140
12,974317856682946,p_5484e1,2023-04-12,0,0,F,97
13,298995663885558,p_d3814d,2023-05-02,0,0,F,47
14,288613693411871,p_475ed0,2023-01-24,0,0,F,102
15,102698007271994,p_a87cae,2023-02-10,0,0,F,106
16,810969899331470,p_b06b6f,2023-04-07,1,0,123,51
17,214618783832658,p_f37637,2023-07-04,1,0,M,36
18,198028597080292,p_69ce8a,2023-11-08,0,0,F,71
19,105949420506334,p_b0052c,2023-10-17,0,0,F,34
20,137620873315681,p_99b4da,2023-11-21,1,0,M,60
21,724091875444307,p_589bb7,2023-03-21,0,0,M,73
22,213043319659719,p_fba649,2023-08-06,0,0,M,66
23,139542096184589,p_418eac,2023-08-13,0,0,F,140
24,325033920249202,p_c5ab73,2023-04-28,1,0,F,81
25,298326962145217,p_e98d8f,2023-08-02,0,0,F,32
26,890304759974571,p_2a4925,2023-06-29,0,0,123,60
27,312223188104863,p_0ab036,2023-01-18,1,0,F,133
28,228375433603097,p_adffd2,2023-07-29,0,0,F,87
29,105865441433683,p_bc47ff,2023-04-06,0,0,F,123
30,277703567074931,p_964371,2023-12-30,1,0,M,139
31,130342117482773,p_cf8a94,2023-05-19,0,1,M,113
32,588871111106979,p_d6aab9,2023-09-28,1,1,M,74
33,271600703686886,p_430c95,2023-03-12,0,0,F,127
34,330873009995389,p_aaec0c,2023-02-18,0,0,M,90
35,320747225141430,p_cbbc32,2023-05-01,1,1,F,41
36,132987646075868,p_017f0c,2023-03-02,0,0,M,65
37,324322672896445,p_601c12,2023-01-22,0,0,F,75
38,319127655676320,p_8266c8,2023-02-10,0,0,M,104
39,126670212566127,p_800f76,2023-12-29,0,0,F,91
40,212387479054728,p_f6a19e,2023-03-07,0,0,F,72
41,715818335680461,p_41e67a,2023-07-11,1,0,F,118
42,142308634511578,p_07dd4d,2023-11-27,0,0,F,39
43,273250772298272,p_093a66,2023-09-12,0,0,M,112
44,117820493603206,p_5278d5,2023-12-03,1,1,F,84
45,940940989269712,p_f15e46,2023-02-22,0,0,F,61
46,313607169332056,p_515e47,2023-05-09,1,0,F,45
47,328757047912718,p_04124f,2023-02-22,0,0,F,80
48,251618001999752,p_a2fcc6,2023-10-18,0,0,F,46
49,569281560809254,p_15d525,2023-01-24,0,0,M,101
50,211231979923694,p_a12815,2023-11-17,0,0,123,91
51,301760242973258,p_46d25e,2023-07-18,0,1,F,47
52,116318404063013,p_7ca507,2023-07-16,0,0,F,26
53,332392718277262,p_fd2638,2023-01-04,0,0,M,94
54,102580251877353,p_a83b49,2023-01-16,0,0,F,43
55,235380495393742,p_80c646,2023-01-24,1,0,M,54
56,173936122893282,p_cb298a,2023-07-13,0,0,M,100
57,151690700307581,p_e3ac82,2023-08-11,0,0,F,24
58,337370919021585,p_588f0f,2023-11-23,0,0,123,37
59,223294172328577,p_b5e8d2,2023-02-11,0,0,F,33
60,163538400609190,p_169809,2023-08-17,1,0,M,37
61,324846350771855,p_0dbd22,2023-09-17,0,0,M,56
62,588701936079571,p_55c6e4,2023-09-30,1,0,M,116
63,174281536719496,p_7b1b34,2023-01-05,1,0,F,126
64,136864632496909,p_dd6d00,2023-07-03,0,0,M,92
65,498083056229525,p_36392f,2023-07-11,0,0,,64
66,169964003419077,p_be5fb0,2023-04-27,1,0,M,77
67,953344159241061,p_89fd68,2023-01-25,0,0,M,138
68,327816747546037,p_8f6eaf,2023-08-20,0,0,M,52
69,164286249285173,p_2813b6,2023-04-27,0,0,F,121
70,750687949655040,p_de623e,2023-07-06,0,1,F,72
71,118666819298588,p_857dd9,2023-01-01,1,0,M,114
72,207727032807187,p_21db4d,2023-05-30,0,0,F,39
73,145555939735013,p_684c73,2023-06-04,1,0,F,32
74,147207662402631,p_65ec82,2023-07-29,0,0,F,116
75,977372070415981,p_808dcc,2023-03-29,0,0,F,39
76,740209493625059,p_4d1aae,2023-01-14,0,0,F,35
77,175783305516725,p_539d89,2023-06-11,0,0,M,67
78,134245321011678,p_c28cd3,2023-03-15,0,0,M,78
79,183564467055245,p_bcdc22,2023-01-21,0,0,F,107
80,705431783327024,p_01e441,2023-05-03,0,0,M,116
81,132497255589396,p_3f3017,2023-01-28,0,0,F,87
82,296982413273233,p_c4b15f,2023-02-01,1,0,F,21
83,149433504590233,p_025bb2,2023-05-15,0,0,F,113
84,294805176870292,p_bedd29,2023-01-27,1,0,M,77
85,143136900146114,p_c49388,2023-09-30,0,0,F,101
86,298956792348902,p_e3807c,2023-02-13,0,0,M,43
87,816686996995067,p_140c10,2023-07-15,0,0,M,62
88,205650803465625,p_ecbcea,2023-05-05,0,0,F,103
89,192434111620597,p_e75263,2023-04-16,0,0,F,134
90,263371965176792,p_847def,2023-09-11,0,0,F,55
91,331123285110960,p_24250d,2023-06-02,1,0,F,50
92,305600527992060,p_076a8a,2023-01-04,0,0,F,79
93,267152467356215,p_28931c,2023-01-13,0,0,F,44
94,521384738360312,p_56da78,2023-04-23,0,0,F,55
95,239922178879888,p_fa538b,2023-08-10,1,0,F,31
96,273883830832411,p_3ac31c,2023-08-20,0,1,F,34
97,247464336349771,p_4691e9,2023-05-01,0,0,F,140
98,168938109972730,p_386ab9,2023-01-14,1,0,F,128
99,309941760500570,p_a43f10,2023-01-28,0,0,F,52
100,223196495690144,p_a0ca0b,2023-09-22,0,0,F,105
101,260196213081458,p_b73dcb,2023-09-14,0,0,M,111
102,148544701220661,p_f8d3f4,2023-05-22,0,0,F,129
103,312852784470071,p_28ea1c,2023-03-20,0,0,F,53
104,270019618673197,p_f85511,2023-06-04,0,1,F,71
105,202710460246891,p_7270b6,2023-11-02,0,0,M,119
106,322737566285063,p_03871e,2023-09-29,1,0,F,119
107,296271421957850,p_d6c8bf,2023-02-08,0,0,F,33
108,128648965344579,p_65d648,2023-07-27,1,0,M,25
109,157713419856697,p_bf955a,2023-01-01,1,0,123,104
110,106690133713482,p_029382,2023-06-06,1,0,F,55
111,271767321637159,p_0441e9,2023-10-09,0,0,F,43
112,344506109540804,p_bf19f4,2023-05-14,0,0,F,122
113,265305206470705,p_c176a6,2023-01-24,0,0,F,41
114,140515707938825,p_1b1e44,2023-07-04,0,1,F,131
115,113297568005143,p_bf58e5,2023-01-13,0,1,M,53
116,311950200746195,p_5a7b15,2023-07-30,0,0,F,82
117,185946052496249,p_827f18,2023-05-24,0,0,,120
118,234628136022693,p_4c1566,2023-11-10,0,0,F,46
119,338187787083137,p_faa28b,2023-03-01,1,0,F,99
120,128018190628616,p_4edfcb,2023-02-17,0,0,F,88
121,246664126434610,p_1e258a,2023-10-02,0,0,F,52
122,673569802558343,p_036211,2023-04-24,0,0,F,34
123,745320651198834,p_0d4d80,2023-11-27,0,0,M,89
124,332205493510718,p_3cec21,2023-09-04,0,0,F,62
125,189754386708573,p_20d65e,2023-11-01,0,0,M,132
126,325084929337569,p_a5b517,2023-10-06,1,0,F,80
127,308202668183546,p_e0da2c,2023-04-08,0,0,M,120
128,159208405879489,p_6cef40,2023-09-01,0,0,M,46
129,267749316643473,p_1a0099,2023-01-24,0,0,M,129
130,100786567804279,p_d3e36a,2023-07-05,1,0,M,21
131,141338867138271,p_13ee1a,2023-11-28,1,0,M,85
132,232686640860419,p_c62a4e,2023-10-03,1,0,F,105
133,705420276766382,p_6a1873,2023-08-04,1,0,M,37
134,193743844189352,p_83a21f,2023-10-03,1,0,F,123
135,165986603926392,p_cef388,2023-11-10,0,0,F,57
136,307687101367189,p_12530e,2023-09-15,0,0,F,22
137,239984144693535,p_5b49ce,2023-03-03,1,0,F,70
138,132568325224696,p_43ba1a,2023-08-02,1,0,M,99
139,177161705939102,p_eb9c25,2023-04-16,0,0,F,70
140,309355656630769,p_535c1a,2023-05-26,1,0,F,74
141,687543029148176,p_d96345,2023-12-25,0,0,M,68
142,185568837502989,p_567090,2023-03-23,0,0,M,22
143,512373328987740,p_56fbac,2023-03-15,1,0,M,53
144,137143627420675,p_cc1e0e,2023-12-12,0,0,M,135
145,226621680954610,p_c690fa,2023-03-25,0,0,M,136
146,189667710044763,p_89ea93,2023-07-07,0,0,F,111
147,163888447410902,p_92e383,2023-03-15,1,0,123,73
148,436467147385097,p_465b3f,2023-04-08,1,0,F,47
149,191106590504205,p_1f31a1,2023-03-17,0,0,F,113
150,195234525008312,p_314a17,2023-09-27,0,0,M,92
151,368631077805338,p_a6287a,2023-10-29,0,0,M,119
152,169368830436565,p_1f0cac,2023-07-15,1,0,M,95
153,296238491830101,p_b0a214,2023-11-08,0,0,123,30
154,260348161289212,p_1f728e,2023-10-09,0,0,M,127
155,232137941688334,p_96c8fe,2023-08-30,1,0,F,51
156,106228146564219,p_f9ff22,2023-09-11,0,0,F,72
157,655281625139690,p_8c6640,2023-02-02,1,0,F,70
158,252000924347101,p_d4f481,2023-04-01,0,0,123,54
159,221739610551249,p_bd12fb,2023-03-28,0,0,F,38
160,277951995389777,p_2241a8,2023-11-19,0,0,F,130
161,201558801967258,p_102e83,2023-09-23,1,0,M,46
162,354065927594449,p_4661f3,2023-07-16,1,0,F,106
163,216002850634854,p_555652,2023-08-10,0,0,F,90
164,319626159192215,p_d2b57b,2023-06-27,0,0,F,31
165,301560867970007,p_d878b6,2023-12-28,0,0,F,129
166,204913535897690,p_0f443a,2023-12-25,1,0,F,46
167,131386207596852,p_6b68d9,2023-01-22,1,0,M,89
168,218392419497112,p_58d34b,2023-05-02,1,0,F,42
169,213786446387705,p_a46cc4,2023-08-19,1,0,F,89
170,201177025564768,p_23df9f,2023-02-12,0,0,M,32
171,655482803818898,p_9b32be,2023-01-15,0,0,F,118
172,105720867217190,p_4ef0f5,2023-08-14,0,0,F,101
173,162341520253646,p_613e3d,2023-03-31,1,0,M,74
174,200962699201833,p_b6166d,2023-03-14,0,1,M,82
175,243757458858342,p_61adc4,2023-10-01,1,0,M,52
176,926558019046812,p_3b14ff,2023-12-05,1,0,F,102
177,242531202055163,p_c4a9c0,2023-12-10,1,0,F,47
178,101757026568609,p_bab677,2023-08-10,0,0,F,24
179,142030211386096,p_54f5a0,2023-02-04,0,0,F,68
180,177783230535502,p_77066e,2023-12-30,1,0,F,22
181,291549151589640,p_df9cc6,2023-11-21,0,1,M,52
182,141936422803991,p_441dfd,2023-03-17,1,0,F,25
183,868031552743595,p_fcd4f9,2023-05-04,0,0,F,37
184,318202944048340,p_dd885e,2023-07-04,0,0,123,70
185,386620415435112,p_1b1ec3,2023-05-28,0,0,M,26
186,235900444504249,p_f8278b,2023-08-21,1,0,F,59
187,314357678215882,p_3e1e0f,2023-06-18,0,0,M,58
188,365250111347628,p_39f0c1,2023-06-03,1,0,M,135
189,295067110627942,p_982b61,2023-06-12,0,0,M,37
190,192447111261012,p_d81528,2023-07-29,1,0,M,66
191,255787802158419,p_da78bc,2023-07-06,0,0,F,42
192,187257106865658,p_be98df,2023-04-08,0,0,F,133
193,222666234496314,p_0940c0,2023-03-31,1,0,M,67
194,198750817177764,p_5a02d1,2023-12-21,0,0,F,95
195,368355835005477,p_20d041,2023-04-30,1,0,M,97
196,206135538382292,p_a7220b,2023-03-02,0,0,M,57
197,760077343471427,p_c719e8,2023-01-18,1,0,123,124
198,250150606409211,p_d31603,2023-10-19,0,0,M,51
199,227261104929272,p_536a27,2023-05-05,0,1,123,74
200,311758423819719,p_9c3c5b,2023-12-19,0,0,123,59
201,125034081503412,p_7e54ac,2023-04-01,0,1,F,61
202,709457506403357,p_21a345,2023-01-02,0,0,F,28
203,165531952429029,p_fd3d8b,2023-03-15,1,0,F,64
204,131025731022914,p_1ae71a,2023-06-22,0,0,F,136
205,192191989222632,p_c583a1,2023-05-29,0,1,M,83
206,537166256032798,p_6e538a,2023-09-22,1,0,F,132
207,253686165647880,p_646578,2023-02-13,1,0,F,33
208,154508973957781,p_4861ca,2023-10-13,1,0,M,36
209,336815421418782,p_5da291,2023-11-17,0,0,F,85
210,284347185175352,p_032cf1,2023-04-21,0,0,F,113
211,240694364318347,p_4ecc1b,2023-05-22,1,0,F,49
212,263236482143190,p_d5d0ad,2023-02-12,1,0,F,92
213,260433128906127,p_bb6811,2023-09-16,1,0,M,94
214,184124732170646,p_f06f4f,2023-05-30,1,0,F,62
215,654350701291387,p_0ca1f4,2023-04-25,0,0,F,96
216,326163513411753,p_e07bba,2023-04-05,0,0,123,47
217,119065501090271,p_204cd9,2023-10-20,0,0,M,74
218,923960320417202,p_1f98f0,2023-04-21,1,0,F,83
219,129487386188806,p_2b939a,2023-11-19,0,0,M,121
220,250552294844711,p_5725b9,2023-06-12,0,0,M,67
221,302538945891866,p_42d33d,2023-11-07,1,0,123,85
222,128828725122426,p_f57faa,2023-07-10,0,0,F,128
223,104666790699784,p_489387,2023-07-07,0,0,F,89
224,162133734568952,p_27f217,2023-11-08,0,0,M,119
225,187140486872193,p_bb5c51,2023-09-13,1,0,M,66
226,841915148162128,p_b42a41,2023-06-26,1,0,F,102
227,271605234081870,p_88a16a,2023-01-12,0,0,F,55
228,264893574870757,p_736f0d,2023-06-13,1,0,F,120
229,283533833966475,p_0fb821,2023-08-18,1,0,M,69
230,845673333546104,p_02c376,2023-11-22,1,0,M,132
