,user_id,session_count,avg_days_btw,sum_duration_in_min,prospect_id,prospect_creation_date,is_presented_prospect,is_client,gender,age,age_cat_w20,age_cat_w30,CTC,click,sessions_before_first_ctc,clicks_before_first_ctc,time_online_before_first_ctc_in_sec,days_to_first_ctc,first_ctc_campaign_id,first_ctc_page,last_ctc_page,last_ctc_date
0,100003521321234,1,0.0,17.0,p_3d6da0,2023-08-28,0,0,M,115,101-120,111-140,1.0,2.0,0.0,2,351.0,0,67bac78ff1,5,5,2023-08-28
1,100018322460971,3,142.0,92.0,p_f8b88f,2023-06-10,0,0,F,92,81-100,81-110,1.0,12.0,1.0,7,2887.0,140,95137568bf,5,5,2023-06-10
2,100229992327486,2,194.0,64.0,p_a20382,2023-05-28,0,0,M,27,21-40,21-50,1.0,9.0,0.0,3,1367.0,0,73dc9eab7b,1,1,2023-05-28
3,100612816824435,3,112.0,136.0,p_144ee3,2023-03-26,0,0,M,39,21-40,21-50,2.0,9.0,0.0,2,2038.0,0,f11dac0db6,2,3,2023-11-06
4,100786567804279,4,53.0,135.0,p_d3e36a,2023-07-05,1,0,M,21,21-40,21-50,1.0,20.0,0.0,5,2255.0,0,f28414dfd1,2,2,2023-07-05
5,100812489236971,6,53.0,198.0,p_d01725,2023-06-29,0,0,F,27,21-40,21-50,3.0,25.0,1.0,6,2114.0,92,7b9f593535,2,6,2023-12-20
6,100894358098825,8,30.0,223.0,p_157811,2023-04-08,0,1,F,57,41-60,51-80,1.0,37.0,3.0,21,6021.0,74,7b9f593535,5,5,2023-04-08
7,101067565327506,6,51.0,196.0,p_5e99e1,2023-08-10,0,1,F,112,101-120,111-140,3.0,21.0,1.0,9,4561.0,124,45c82b38c6,2,6,2023-09-27
8,101069322454572,3,155.0,114.0,p_8b7d4a,2023-12-04,1,0,F,54,41-60,51-80,1.0,8.0,2.0,8,6212.0,310,242649bfe1,4,4,2023-12-04
9,101220218245413,1,0.0,7.0,p_cd8298,2023-01-29,1,0,F,28,21-40,21-50,1.0,4.0,0.0,4,221.0,0,,4,4,2023-01-29
10,101757026568609,3,47.0,108.0,p_bab677,2023-08-10,0,0,F,24,21-40,21-50,1.0,8.0,0.0,1,192.0,0,f115ad964e,6,6,2023-08-10
11,101881604603031,3,67.0,82.0,p_52ea83,2023-07-25,0,0,F,24,21-40,21-50,1.0,19.0,1.0,9,1596.0,94,45c82b38c6,1,1,2023-07-25
12,102073825051328,2,137.0,91.0,p_229c14,2023-11-09,0,0,M,123,121-140,111-140,1.0,3.0,1.0,3,5240.0,137,f11dac0db6,3,3,2023-11-09
13,102217290652423,3,152.0,102.0,p_06247e,2023-01-06,1,0,M,137,121-140,111-140,1.0,16.0,0.0,5,2343.0,0,67bac78ff1,3,3,2023-01-06
14,102482539122384,2,57.0,50.0,p_c477cf,2023-06-19,0,0,F,91,81-100,81-110,1.0,8.0,1.0,8,1818.0,57,7b9f593535,5,5,2023-06-19
15,102490985604474,3,14.0,124.0,p_ff9dbc,2023-12-12,0,1,M,129,121-140,111-140,1.0,11.0,2.0,11,7151.0,29,f11dac0db6,3,3,2023-12-12
16,102580251877353,5,83.0,202.0,p_a83b49,2023-01-16,0,0,F,43,41-60,21-50,2.0,25.0,0.0,7,1706.0,0,f28414dfd1,1,5,2023-03-22
17,102660027027405,2,165.0,72.0,p_8620e1,2023-06-21,0,0,F,48,41-60,21-50,1.0,8.0,1.0,8,3510.0,165,f11dac0db6,1,1,2023-06-21
