,user_id,is_presented_prospect,is_client,gender,age,session_count,avg_days_btw,sum_duration_in_min,device_type,device_browser,device_operating_system,device_language,country,CTC,click,sessions_before_first_ctc,clicks_before_first_ctc,time_online_before_first_ctc_in_sec,days_to_first_ctc,first_ctc_campaign_id,first_ctc_page,last_ctc_page,last_ctc_date,setup_cluster,user_preference,user_behavior
0,684630696291444,1,0,F,81,7,49.0,199.0,mobile,yahoo,ios,FR,FR,1.0,28.0,3.0,16,5719.0,187,242649bfe1,5,5,2023-08-13,2,Page 5,Weekday
1,147942796817941,1,0,F,139,5,41.0,173.0,mobile,google,ios,FR,FR,1.0,28.0,4.0,28,10251.0,164,7b9f593535,4,4,2023-07-16,4,Page 4,No preference
2,124864507964377,1,0,M,30,3,71.0,46.0,desktop,google,windows,,FR,1.0,8.0,2.0,8,2753.0,142,67bac78ff1,4,4,2023-12-16,1,Page 4,Weekday Daytime
3,149579675976397,0,0,M,22,4,83.0,211.0,desktop,,windows,,SP,2.0,18.0,2.0,16,9064.0,236,95137568bf,2,5,2023-11-13,11,Multipages,Weekday Nighttime
4,209311476200613,0,0,M,132,6,50.0,179.0,mobile,,ios,FR,FR,2.0,18.0,0.0,2,418.0,0,67bac78ff1,2,1,2023-12-12,2,Multipages,No preference
5,428375728757009,0,0,F,122,10,36.0,284.0,mobile,google,ios,FR,FR,4.0,34.0,2.0,8,5294.0,25,acb1a5969d,2,6,2023-11-29,4,Multipages,No preference
6,299327950751394,0,0,F,93,5,34.0,116.0,desktop,,windows,,FR,1.0,22.0,4.0,22,6378.0,138,45c82b38c6,6,6,2023-10-08,3,Page 6,Nighttime
7,509615869824172,0,0,M,105,5,58.0,102.0,mobile,bing,android,FR,FR,3.0,14.0,2.0,10,4202.0,204,f11dac0db6,6,5,2023-12-08,0,Multipages,Weekday
8,379245356747504,1,0,F,97,3,131.0,124.0,,google,,,FR,1.0,13.0,0.0,4,2249.0,0,73dc9eab7b,5,5,2023-02-01,10,Page 5,No preference
9,532546974343191,0,1,F,97,5,38.0,149.0,mobile,bing,ios,FR,FR,1.0,25.0,4.0,25,8943.0,153,f115ad964e,2,2,2023-08-17,7,Page 2,Weekday Daytime
10,300221093764427,0,0,123,83,4,67.0,91.0,mobile,bing,ios,FR,FR,2.0,16.0,1.0,8,4506.0,25,7b9f593535,5,1,2023-12-29,7,Multipages,Nighttime
11,337451783067754,0,0,123,140,2,33.0,22.0,mobile,google,android,FR,FR,1.0,4.0,1.0,4,1261.0,33,f28414dfd1,5,5,2023-08-18,6,Page 5,Weekend Nighttime
12,974317856682946,0,0,F,97,5,50.0,167.0,mobile,,ios,FR,FR,1.0,30.0,0.0,6,2464.0,0,73dc9eab7b,3,3,2023-04-12,2,Page 3,Weekday
13,298995663885558,0,0,F,47,3,67.0,107.0,desktop,,windows,,FR,1.0,6.0,1.0,4,4216.0,53,7b9f593535,2,2,2023-05-02,3,Page 2,Weekday
14,288613693411871,0,0,F,102,8,30.0,280.0,desktop,google,windows,,FR,2.0,38.0,0.0,2,2441.0,0,45c82b38c6,5,2,2023-06-07,1,Multipages,Weekday Nighttime
15,102698007271994,0,0,F,106,6,53.0,157.0,mobile,,ios,FR,FR,1.0,31.0,0.0,3,1320.0,0,95137568bf,5,5,2023-02-10,2,Page 5,No preference
16,810969899331470,1,0,123,51,4,67.0,169.0,mobile,google,android,EN,FR,1.0,16.0,0.0,3,1567.0,0,67bac78ff1,2,2,2023-04-07,9,Page 2,Weekday Nighttime
17,214618783832658,1,0,M,36,7,48.0,193.0,desktop,yahoo,windows,,DE,1.0,30.0,3.0,22,5319.0,143,f115ad964e,5,5,2023-07-04,3,Page 5,Weekday Daytime
18,198028597080292,0,0,F,71,5,68.0,102.0,,google,,,SP,2.0,18.0,3.0,12,3890.0,256,f11dac0db6,4,2,2023-11-27,10,Multipages,Weekday
19,105949420506334,0,0,F,34,9,37.0,218.0,mobile,,android,FR,FR,1.0,32.0,5.0,23,6580.0,234,73dc9eab7b,4,4,2023-10-17,0,Page 4,Daytime
20,137620873315681,1,0,M,60,5,28.0,144.0,desktop,yahoo,windows,,FR,1.0,15.0,2.0,11,3498.0,93,f11dac0db6,2,2,2023-11-21,3,Page 2,Weekend
21,724091875444307,0,0,M,73,8,38.0,218.0,mobile,bing,android,FR,,2.0,31.0,3.0,14,6079.0,78,45c82b38c6,4,5,2023-05-12,0,Multipages,Weekday
22,213043319659719,0,0,M,66,5,41.0,186.0,mobile,google,ios,FR,FR,1.0,22.0,2.0,12,6304.0,58,7b9f593535,5,5,2023-08-06,4,Page 5,Daytime
